geo,name,broadband_subscribers_per_100_people,cell_phones_per_100_people,children_per_woman_total_fertility,co2_pcap_cons,gdp_pcap,gini,lex,median_age_years,average_daily_income,population_density_per_square_km
mlt,Malta,43.445,132.861,1.1,17.338,57781.49999,28.67,83.07,39.746,65.4473,1676.8
mmr,Myanmar,2.09695,107.535,2.13,0.549,5350.47667,32.77,70.14,29.251,5.955,82.286
mne,Montenegro,31.8922,207.278,1.88,3.166,25429.02514,38.3,75.67,39.08,22.0106,44.501
mng,Mongolia,12.9008,142.809,2.75,14.235,15310.43495,34,68.88,26.617,14.3309,2.174
moz,Mozambique,0.19778,45.8178,4.84,0.456,1476.6656,57.29,56.91,16.249,2.2194,41.527
mrt,Mauritania,0.41523,109.884,4.77,0.661,6053.26179,32.52,69.71,16.992,7.0795,4.73
mus,Mauritius,26.1964,164.309,1.27,4.881,24788.7665,36.76,74.33,36.513,18.0426,628.635
mwi,Malawi,0.07241,59.6496,3.72,0.139,1659.95934,47.17,63.48,17.335,2.5495,217.539
mys,Malaysia,12.1754,138.208,1.55,7.497,32079.15152,42.44,75.54,29.573,42.6996,105.602
nam,Namibia,3.29191,100.558,3.25,3.966,9953.09752,60.13,60.04,20.825,10.4084,3.51
ner,Niger,NA,63.3771,6.14,0.113,1717.51892,36.65,61.7,15.102,3.6378,19.983
nga,Nigeria,0.04338,99.5852,4.55,0.692,5552.83765,37.3,65.21,17.567,4.7371,245.013
nic,Nicaragua,5.00782,104.278,2.24,0.944,7277.82265,46.26,75.95,24.912,14.0023,55.93
nld,Netherlands,43.5643,115.821,1.51,8.769,71324.03603,30.08,82.15,41.463,78.524,531.746
nor,Norway,45.6645,111.657,1.42,8.716,91051.0832,27.56,83.34,39.436,84.8149,17.937
npl,Nepal,4.83217,133.273,2,0.922,4763.38751,33.73,72.02,24.356,9.4697,201.897
nru,Nauru,9.95678,87.1706,3.38,5.093,12458.74051,34.12,63.92,20.573,9.8652,590.05
nzl,New Zealand,36.3045,115.984,1.67,7.507,49618.52533,35.2,82.22,37.068,47.9904,19.372
omn,Oman,10.8833,136.801,2.45,14.91,39780.21228,38.44,70.1,28.973,38.3286,15.283
pak,Pakistan,1.28372,79.1051,3.66,1.097,5526.27928,33.77,65.54,20.148,5.7117000000000004,316.133
pan,Panama,16.3861,152.062,2.14,4.022,33833.02651,51.7,79.02,29.273,27.654,59.328
per,Peru,9.45024,124.119,2,2.006,15559.82164,44.83,77.33,29.096,13.5501,26.151
phl,Philippines,7.63947,147.429,1.93,1.608,9457.10395,44.34,72.16,24.866,16.8339,379.881
plw,Palau,6.99364,135.143,1.93,14.248,15477.55264,37.44,68.08,37.484,14.3928,38.607
png,Papua New Guinea,0.21464,49.1907,3.17,0.986,4125.49303,43.53,65.14,22.127,4.7161,22.531
pol,Poland,23.8373,137.002,1.26,8.012,43405.02158,32.41,77.17,40.864,43.4729,125.364
prt,Portugal,42.937,122.801,1.45,4.603,41070.86131,35.56,82.26,45.806,40.8545,113.248
pry,Paraguay,11.1528,128.088,2.44,2,15259.14563,47.72,73.34,26.045,19.2667,16.715
pse,Palestine,7.93673,76.5666,3.38,0.733,5753.08396,35.45,73.02,19.605,14.9428,881.274
qat,Qatar,12.6414,162.249,1.74,27.259,114740.1236,34.23,76.82,32.458,88.0504,249.651
rou,Romania,33.2116,121.142,1.72,4.363,39377.97174,37.93,73.16,42.391,30.3416,83.306
rus,Russia,24.6346,168.476,1.45,9.968,38214.49609,40.79,69.2,39.071,38.0455,8.89
rwa,Rwanda,0.34995,80.5952,3.78,0.179,2892.45965,45.88,69.36,19.22,4.3762,563.859
sau,Saudi Arabia,41.823,149.798,2.14,18.425,67178.59023,37.37,75.1,28.731,65.9135,14.967
sdn,Sudan,0.06044,70.2084,4.38,0.55,3132.07715,36.1,70.17,18.12,5.488,27.978
sen,Senegal,1.40365,118.15,3.86,1.018,4228.73383,42.56,67.86,18.888,6.5987,91.68
